ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-10-10,11143.060093171714,12415.812369012694,15285.923265873069,11143.060093171714,11143.060093171714,2686.21898850858,2686.21898850858,2686.21898850858,2686.21898850858,2686.21898850858,2686.21898850858,0.0,0.0,0.0,13829.279081680295
2021-10-17,11162.56778449867,13710.060241162075,16472.62665514329,11162.56778449867,11162.56778449867,3763.785229809206,3763.785229809206,3763.785229809206,3763.785229809206,3763.785229809206,3763.785229809206,0.0,0.0,0.0,14926.353014307875
2021-10-24,11182.075475825623,13962.93137548635,16841.53273358343,11182.075475825623,11182.075475825623,4227.231976260688,4227.231976260688,4227.231976260688,4227.231976260688,4227.231976260688,4227.231976260688,0.0,0.0,0.0,15409.30745208631
2021-10-31,11201.583167152576,14056.809543722118,16747.14787667904,11201.583167152576,11201.583167152576,4154.607531748576,4154.607531748576,4154.607531748576,4154.607531748576,4154.607531748576,4154.607531748576,0.0,0.0,0.0,15356.190698901151
2021-11-07,11221.090858479527,13518.838723327246,16422.782944105787,11221.090858479527,11221.090858479527,3696.020719680786,3696.020719680786,3696.020719680786,3696.020719680786,3696.020719680786,3696.020719680786,0.0,0.0,0.0,14917.111578160313
2021-11-14,11240.59854980648,12948.710235190285,15734.585308232807,11240.59854980648,11240.59854980648,3144.6854054947653,3144.6854054947653,3144.6854054947653,3144.6854054947653,3144.6854054947653,3144.6854054947653,0.0,0.0,0.0,14385.283955301245
2021-11-21,11260.106241133433,12743.204493016387,15565.245102541548,11260.106241133433,11260.106241133433,2891.437915992107,2891.437915992107,2891.437915992107,2891.437915992107,2891.437915992107,2891.437915992107,0.0,0.0,0.0,14151.54415712554
2021-11-28,11279.613932460386,12899.378627083981,15747.010330841926,11279.613932460386,11279.613932460386,3116.9766421684712,3116.9766421684712,3116.9766421684712,3116.9766421684712,3116.9766421684712,3116.9766421684712,0.0,0.0,0.0,14396.590574628857
2021-12-05,11299.121623787338,13470.617262873266,16217.534343354107,11299.121623787338,11299.121623787338,3536.396772417454,3536.396772417454,3536.396772417454,3536.396772417454,3536.396772417454,3536.396772417454,0.0,0.0,0.0,14835.518396204792
2021-12-12,11318.629315114293,13482.959201205023,16400.48660362892,11318.629315114293,11318.629315114293,3610.1330171529157,3610.1330171529157,3610.1330171529157,3610.1330171529157,3610.1330171529157,3610.1330171529157,0.0,0.0,0.0,14928.762332267208
2021-12-19,11338.065008818441,12992.562617112968,15816.01813922076,11338.065008818441,11338.065008818441,3119.785017550362,3119.785017550362,3119.785017550362,3119.785017550362,3119.785017550362,3119.785017550362,0.0,0.0,0.0,14457.850026368804
2021-12-26,11357.500702522588,12451.463064872787,15251.291138377215,11357.500702522588,11357.500702522588,2484.0363252498964,2484.0363252498964,2484.0363252498964,2484.0363252498964,2484.0363252498964,2484.0363252498964,0.0,0.0,0.0,13841.537027772483
2022-01-02,11376.936396226738,12310.59541588611,15157.035460158855,11376.936396226738,11376.936396226738,2387.911187861939,2387.911187861939,2387.911187861939,2387.911187861939,2387.911187861939,2387.911187861939,0.0,0.0,0.0,13764.847584088677
2022-01-09,11396.372089930885,13052.119280568899,15824.691630211662,11396.372089930885,11396.372089930885,3077.6519119038767,3077.6519119038767,3077.6519119038767,3077.6519119038767,3077.6519119038767,3077.6519119038767,0.0,0.0,0.0,14474.024001834761
2022-01-16,11415.807783635035,14177.775344157319,17028.58435368317,11415.807783635035,11415.807783635035,4106.027484367927,4106.027484367927,4106.027484367927,4106.027484367927,4106.027484367927,4106.027484367927,0.0,0.0,0.0,15521.835268002962
2022-01-23,11435.243477339181,14724.403589814588,17686.532483596442,11435.243477339181,11435.243477339181,4820.891091857346,4820.891091857346,4820.891091857346,4820.891091857346,4820.891091857346,4820.891091857346,0.0,0.0,0.0,16256.134569196527
2022-01-30,11454.67917104333,14963.771334144027,17954.48024312855,11454.67917104333,11454.67917104333,5020.652437393587,5020.652437393587,5020.652437393587,5020.652437393587,5020.652437393587,5020.652437393587,0.0,0.0,0.0,16475.331608436918
2022-02-06,11474.114864747478,15071.788400295161,17905.310192801375,11474.114864747478,11474.114864747478,5007.367949109328,5007.367949109328,5007.367949109328,5007.367949109328,5007.367949109328,5007.367949109328,0.0,0.0,0.0,16481.482813856805
